iter	Passed	Remaining
0	171	171390
1	182	91225
2	193	64373
3	204	51034
4	216	42990
5	226	37557
6	237	33701
7	243	30252
8	254	27979
9	267	26472
10	278	25020
11	288	23720
12	297	22621
13	308	21701
14	317	20868
15	328	20219
16	338	19592
17	348	19016
18	358	18500
19	367	18027
20	377	17590
21	383	17044
22	395	16810
23	406	16519
24	418	16303
25	428	16055
26	439	15831
27	448	15586
28	459	15380
29	468	15162
30	479	14995
31	489	14808
32	499	14626
33	508	14460
34	519	14331
35	527	14132
36	537	13990
37	549	13922
38	560	13809
39	571	13709
40	578	13535
41	585	13360
42	597	13296
43	607	13202
44	617	13115
45	628	13034
46	639	12967
47	649	12873
48	658	12783
49	669	12716
50	675	12562
51	685	12496
52	695	12420
53	706	12373
54	717	12323
55	727	12256
56	739	12227
57	750	12188
58	760	12132
59	770	12077
60	781	12031
61	792	11985
62	804	11958
63	814	11904
64	822	11827
65	833	11796
66	844	11756
67	854	11705
68	866	11686
69	875	11632
70	884	11578
71	894	11534
72	904	11480
73	913	11436
74	924	11396
75	933	11355
76	943	11313
77	954	11283
78	964	11247
79	974	11206
80	984	11166
81	993	11127
82	1003	11088
83	1013	11050
84	1023	11013
85	1032	10978
86	1043	10948
87	1050	10889
88	1060	10854
89	1069	10815
90	1079	10783
91	1089	10754
92	1100	10728
93	1108	10686
94	1118	10655
95	1128	10623
96	1139	10604
97	1148	10574
98	1158	10546
99	1169	10524
100	1179	10499
101	1189	10469
102	1197	10425
103	1206	10397
104	1217	10374
105	1226	10346
106	1238	10336
107	1248	10309
108	1258	10286
109	1268	10267
110	1277	10234
111	1288	10215
112	1301	10219
113	1311	10196
114	1322	10180
115	1333	10165
116	1344	10149
117	1354	10126
118	1365	10112
119	1376	10092
120	1385	10067
121	1395	10045
122	1405	10022
123	1415	10000
124	1424	9973
125	1433	9946
126	1443	9921
127	1454	9907
128	1465	9897
129	1474	9871
130	1485	9857
131	1497	9845
132	1508	9830
133	1519	9821
134	1531	9813
135	1542	9796
136	1553	9786
137	1564	9772
138	1574	9753
139	1586	9743
140	1596	9726
141	1608	9716
142	1619	9706
143	1630	9692
144	1641	9681
145	1653	9673
146	1664	9659
147	1674	9642
148	1689	9648
149	1699	9631
150	1711	9621
151	1721	9606
152	1732	9592
153	1743	9579
154	1755	9569
155	1766	9556
156	1777	9544
157	1788	9531
158	1799	9516
159	1809	9502
160	1820	9485
161	1862	9633
162	1882	9666
163	1896	9666
164	1906	9647
165	1918	9639
166	1929	9623
167	1940	9609
168	1951	9593
169	1961	9578
170	1971	9558
171	1981	9540
172	1992	9523
173	2002	9506
174	2013	9491
175	2023	9474
176	2034	9459
177	2043	9438
178	2053	9419
179	2064	9404
180	2073	9383
181	2083	9364
182	2094	9349
183	2103	9329
184	2113	9311
185	2123	9293
186	2133	9277
187	2146	9269
188	2156	9253
189	2166	9236
190	2177	9221
191	2188	9210
192	2199	9198
193	2210	9185
194	2223	9180
195	2237	9179
196	2247	9162
197	2258	9147
198	2268	9130
199	2278	9114
200	2289	9101
201	2300	9089
202	2310	9071
203	2320	9054
204	2331	9040
205	2340	9020
206	2349	9001
207	2360	8988
208	2370	8972
209	2381	8958
210	2392	8944
211	2402	8928
212	2412	8912
213	2423	8899
214	2434	8887
215	2445	8875
216	2458	8869
217	2468	8853
218	2478	8839
219	2488	8821
220	2498	8808
221	2509	8795
222	2520	8782
223	2530	8766
224	2541	8753
225	2554	8747
226	2564	8732
227	2575	8721
228	2586	8708
229	2596	8693
230	2607	8680
231	2618	8669
232	2628	8652
233	2638	8637
234	2649	8626
235	2661	8615
236	2672	8603
237	2683	8592
238	2694	8579
239	2705	8566
240	2716	8555
241	2727	8541
242	2737	8526
243	2748	8516
244	2759	8502
245	2769	8489
246	2781	8478
247	2793	8470
248	2802	8453
249	2814	8443
250	2824	8429
251	2835	8416
252	2846	8403
253	2856	8389
254	2866	8374
255	2877	8361
256	2887	8347
257	2898	8336
258	2909	8323
259	2919	8309
260	2929	8295
261	2940	8282
262	2951	8270
263	2962	8258
264	2973	8246
265	2983	8232
266	2994	8220
267	3005	8208
268	3015	8194
269	3025	8181
270	3036	8167
271	3046	8154
272	3056	8138
273	3066	8123
274	3076	8109
275	3085	8095
276	3096	8081
277	3109	8076
278	3120	8063
279	3130	8050
280	3140	8035
281	3150	8020
282	3160	8007
283	3173	7999
284	3182	7984
285	3192	7969
286	3203	7957
287	3212	7942
288	3223	7929
289	3232	7913
290	3242	7900
291	3253	7887
292	3263	7874
293	3274	7862
294	3286	7853
295	3299	7847
296	3310	7835
297	3319	7820
298	3330	7809
299	3341	7797
300	3350	7780
301	3360	7766
302	3369	7750
303	3379	7736
304	3388	7722
305	3398	7707
306	3409	7695
307	3418	7680
308	3427	7664
309	3437	7650
310	3447	7638
311	3457	7625
312	3469	7614
313	3479	7601
314	3493	7596
315	3503	7582
316	3513	7570
317	3524	7557
318	3534	7545
319	3545	7533
320	3557	7524
321	3567	7511
322	3577	7497
323	3594	7498
324	3604	7486
325	3615	7474
326	3626	7464
327	3637	7452
328	3647	7439
329	3658	7427
330	3668	7414
331	3679	7402
332	3690	7391
333	3702	7382
334	3713	7371
335	3727	7365
336	3737	7352
337	3748	7341
338	3759	7330
339	3769	7317
340	3779	7304
341	3790	7292
342	3800	7278
343	3810	7266
344	3823	7259
345	3833	7246
346	3844	7234
347	3853	7219
348	3862	7205
349	3872	7191
350	3882	7178
351	3891	7164
352	3901	7151
353	3912	7138
354	3923	7129
355	3933	7115
356	3943	7101
357	3953	7089
358	3964	7078
359	3973	7063
360	3983	7050
361	3993	7038
362	4003	7024
363	4013	7013
364	4023	7000
365	4034	6988
366	4044	6975
367	4053	6961
368	4063	6948
369	4073	6936
